Section 1: Benchmark Configuration
==================================
mode=detailed
suite_tiers=extended
et_mode=paired
reactive_zero_skip=On
proactive_zero_run_skip=On
zero_run_order_mode=execution
bit_column_skip=On
warmup_iterations=0
timed_repetitions=1
grouping_policies=OutputChannelModulo,TaskRoundRobin,ETAwareCostBalanced,ETAwareCostBalancedMemoryAware,BroadcastPhaseAwareFanoutBalanced
scenario_count=17
exactness_pass=PASS
primary_invariants_pass=PASS

Section 2: Detailed Primary Metrics
===================================
scenario | grouping_policy | et_enabled | cycles_mean | wall_median_ms | throughput_macs_per_cycle | lane_occupancy | multiplier_utilization | accumulator_utilization | memory_stall_ratio | broadcast_stall_ratio | dram_bytes | onchip_buffer_bytes | activation_reuse_hits | activation_reuse_misses | weight_reuse_hits | weight_reuse_misses | memory_requests_avoided | work_stealing_events | tasks_terminated_early | output_elements_terminated_early | macs_skipped_total | macs_skipped_et_only | macs_skipped_reactive_only | macs_skipped_proactive_only | macs_skipped_zero_only | bit_steps_skipped_total | bit_steps_skipped_et_only | bit_steps_skipped_bit_column_only | zero_run_events | average_processed_fraction_per_task | mismatches
extended-mnist-sample-0 (label=7) | OutputChannelModulo | Off | 11882.000 | 513.526174 | 0.696852 | 0.266865 | 0.055114 | 0.055114 | 0.660486 | 0.061795 | 25275 | 67570 | 8165 | 115 | 8208 | 72 | 32099 | 994 | 0 | 0 | 48168 | 0 | 1594 | 46574 | 48168 | 42665 | 0 | 42665 | 6054 | 0.146684 | 0
extended-mnist-sample-0 (label=7) | OutputChannelModulo | On | 10020.000 | 484.860750 | 0.517764 | 0.231335 | 0.043336 | 0.043336 | 0.719303 | 0.037700 | 25275 | 62749 | 5756 | 115 | 5799 | 72 | 22466 | 988 | 4204 | 4204 | 50577 | 5302 | 108 | 45167 | 45275 | 73752 | 45696 | 28056 | 5322 | 0.104007 | 0
extended-mnist-sample-0 (label=7) | TaskRoundRobin | Off | 12207.000 | 551.127197 | 0.678299 | 0.259760 | 0.053646 | 0.053646 | 0.692706 | 0.040462 | 25275 | 67858 | 8165 | 115 | 8208 | 72 | 31811 | 11 | 0 | 0 | 48168 | 0 | 1594 | 46574 | 48168 | 42665 | 0 | 42665 | 6054 | 0.146684 | 0
extended-mnist-sample-0 (label=7) | TaskRoundRobin | On | 10232.000 | 461.964240 | 0.507037 | 0.226541 | 0.042438 | 0.042438 | 0.739439 | 0.023923 | 25275 | 63040 | 5756 | 115 | 5799 | 72 | 22175 | 17 | 4204 | 4204 | 50577 | 5302 | 108 | 45167 | 45275 | 73752 | 45696 | 28056 | 5322 | 0.104007 | 0
extended-mnist-sample-0 (label=7) | ETAwareCostBalanced | Off | 11681.000 | 1967.727054 | 0.708843 | 0.271457 | 0.056062 | 0.056062 | 0.646867 | 0.071056 | 25275 | 67725 | 8165 | 115 | 8208 | 72 | 31944 | 2266 | 0 | 0 | 48168 | 0 | 1594 | 46574 | 48168 | 42665 | 0 | 42665 | 6054 | 0.146684 | 0
extended-mnist-sample-0 (label=7) | ETAwareCostBalanced | On | 9882.000 | 1570.217112 | 0.524995 | 0.234565 | 0.043941 | 0.043941 | 0.700336 | 0.054968 | 25275 | 62897 | 5756 | 115 | 5799 | 72 | 22318 | 2970 | 4204 | 4204 | 50577 | 5302 | 108 | 45167 | 45275 | 73752 | 45696 | 28056 | 5322 | 0.104007 | 0
extended-mnist-sample-0 (label=7) | ETAwareCostBalancedMemoryAware | Off | 11746.000 | 4406.857620 | 0.704921 | 0.269955 | 0.055752 | 0.055752 | 0.651163 | 0.077308 | 25275 | 67768 | 8165 | 115 | 8208 | 72 | 31901 | 3889 | 0 | 0 | 48168 | 0 | 1594 | 46574 | 48168 | 42665 | 0 | 42665 | 6054 | 0.146684 | 0
extended-mnist-sample-0 (label=7) | ETAwareCostBalancedMemoryAware | On | 9871.000 | 3813.068203 | 0.525580 | 0.234826 | 0.043990 | 0.043990 | 0.707862 | 0.055437 | 25275 | 62906 | 5756 | 115 | 5799 | 72 | 22309 | 4594 | 4204 | 4204 | 50577 | 5302 | 108 | 45167 | 45275 | 73752 | 45696 | 28056 | 5322 | 0.104007 | 0
extended-mnist-sample-0 (label=7) | BroadcastPhaseAwareFanoutBalanced | Off | 11600.000 | 841.651244 | 0.713793 | 0.273352 | 0.056454 | 0.056454 | 0.652783 | 0.072270 | 25275 | 67648 | 8165 | 115 | 8208 | 72 | 32021 | 1102 | 0 | 0 | 48168 | 0 | 1594 | 46574 | 48168 | 42665 | 0 | 42665 | 6054 | 0.146684 | 0
extended-mnist-sample-0 (label=7) | BroadcastPhaseAwareFanoutBalanced | On | 9830.000 | 691.990091 | 0.527772 | 0.235806 | 0.044173 | 0.044173 | 0.703529 | 0.052331 | 25275 | 62815 | 5756 | 115 | 5799 | 72 | 22400 | 898 | 4204 | 4204 | 50577 | 5302 | 108 | 45167 | 45275 | 73752 | 45696 | 28056 | 5322 | 0.104007 | 0
extended-mnist-sample-1 (label=2) | OutputChannelModulo | Off | 14443.000 | 618.100932 | 0.822544 | 0.287298 | 0.065055 | 0.065055 | 0.625409 | 0.081850 | 25325 | 75185 | 11715 | 165 | 11808 | 72 | 46034 | 1032 | 0 | 0 | 44568 | 0 | 2034 | 42534 | 44568 | 61215 | 0 | 61215 | 5828 | 0.210459 | 0
extended-mnist-sample-1 (label=2) | OutputChannelModulo | On | 12003.000 | 513.532018 | 0.626260 | 0.246517 | 0.052306 | 0.052306 | 0.685347 | 0.054352 | 25325 | 68351 | 8277 | 165 | 8370 | 72 | 32240 | 1004 | 4010 | 4010 | 48006 | 7087 | 150 | 40769 | 40919 | 101630 | 61197 | 40433 | 4908 | 0.149554 | 0
extended-mnist-sample-1 (label=2) | TaskRoundRobin | Off | 17016.000 | 645.499390 | 0.698166 | 0.243855 | 0.055218 | 0.055218 | 0.721659 | 0.026091 | 25325 | 82265 | 11715 | 165 | 11808 | 72 | 38954 | 73 | 0 | 0 | 44568 | 0 | 2034 | 42534 | 44568 | 61215 | 0 | 61215 | 5828 | 0.210459 | 0
extended-mnist-sample-1 (label=2) | TaskRoundRobin | On | 12801.000 | 550.810630 | 0.587220 | 0.231149 | 0.049046 | 0.049046 | 0.730492 | 0.031378 | 25325 | 70688 | 8277 | 165 | 8370 | 72 | 29903 | 47 | 4010 | 4010 | 48006 | 7087 | 150 | 40769 | 40919 | 101630 | 61197 | 40433 | 4908 | 0.149554 | 0
extended-mnist-sample-1 (label=2) | ETAwareCostBalanced | Off | 15208.000 | 1647.792022 | 0.781168 | 0.272846 | 0.061782 | 0.061782 | 0.647662 | 0.071837 | 25325 | 76878 | 11715 | 165 | 11808 | 72 | 44341 | 2367 | 0 | 0 | 44568 | 0 | 2034 | 42534 | 44568 | 61215 | 0 | 61215 | 5828 | 0.210459 | 0
extended-mnist-sample-1 (label=2) | ETAwareCostBalanced | On | 12092.000 | 1819.445495 | 0.621651 | 0.244703 | 0.051921 | 0.051921 | 0.692501 | 0.060704 | 25325 | 69195 | 8277 | 165 | 8370 | 72 | 31396 | 2854 | 4010 | 4010 | 48006 | 7087 | 150 | 40769 | 40919 | 101630 | 61197 | 40433 | 4908 | 0.149554 | 0
extended-mnist-sample-1 (label=2) | ETAwareCostBalancedMemoryAware | Off | 15083.000 | 4157.357677 | 0.787642 | 0.275107 | 0.062294 | 0.062294 | 0.634587 | 0.081967 | 25325 | 76669 | 11715 | 165 | 11808 | 72 | 44550 | 5089 | 0 | 0 | 44568 | 0 | 2034 | 42534 | 44568 | 61215 | 0 | 61215 | 5828 | 0.210459 | 0
extended-mnist-sample-1 (label=2) | ETAwareCostBalancedMemoryAware | On | 12251.000 | 4279.099077 | 0.613583 | 0.241527 | 0.051248 | 0.051248 | 0.691848 | 0.061317 | 25325 | 69207 | 8277 | 165 | 8370 | 72 | 31384 | 5048 | 4010 | 4010 | 48006 | 7087 | 150 | 40769 | 40919 | 101630 | 61197 | 40433 | 4908 | 0.149554 | 0
extended-mnist-sample-1 (label=2) | BroadcastPhaseAwareFanoutBalanced | Off | 14699.000 | 836.973275 | 0.808218 | 0.282294 | 0.063922 | 0.063922 | 0.635397 | 0.081050 | 25325 | 75971 | 11715 | 165 | 11808 | 72 | 45248 | 1172 | 0 | 0 | 44568 | 0 | 2034 | 42534 | 44568 | 61215 | 0 | 61215 | 5828 | 0.210459 | 0
extended-mnist-sample-1 (label=2) | BroadcastPhaseAwareFanoutBalanced | On | 11994.000 | 700.496745 | 0.626730 | 0.246702 | 0.052346 | 0.052346 | 0.691973 | 0.056255 | 25325 | 68886 | 8277 | 165 | 8370 | 72 | 31705 | 1132 | 4010 | 4010 | 48006 | 7087 | 150 | 40769 | 40919 | 101630 | 61197 | 40433 | 4908 | 0.149554 | 0
extended-mnist-sample-1038 (label=1) | OutputChannelModulo | Off | 8275.000 | 443.074525 | 0.391541 | 0.216408 | 0.030967 | 0.030967 | 0.757640 | 0.013914 | 25205 | 57070 | 3195 | 45 | 3168 | 72 | 12429 | 998 | 0 | 0 | 53208 | 0 | 834 | 52374 | 53208 | 16695 | 0 | 16695 | 6332 | 0.057398 | 0
extended-mnist-sample-1038 (label=1) | OutputChannelModulo | On | 7472.000 | 399.105030 | 0.275696 | 0.194050 | 0.023231 | 0.023231 | 0.783016 | 0.006632 | 25205 | 55319 | 2323 | 45 | 2296 | 72 | 8948 | 1000 | 4450 | 4450 | 54080 | 2430 | 24 | 51626 | 51650 | 32135 | 20937 | 11198 | 5936 | 0.041950 | 0
extended-mnist-sample-1038 (label=1) | TaskRoundRobin | Off | 8272.000 | 479.628481 | 0.391683 | 0.216487 | 0.030978 | 0.030978 | 0.770770 | 0.005225 | 25205 | 57358 | 3195 | 45 | 3168 | 72 | 12141 | 10 | 0 | 0 | 53208 | 0 | 834 | 52374 | 53208 | 16695 | 0 | 16695 | 6332 | 0.057398 | 0
extended-mnist-sample-1038 (label=1) | TaskRoundRobin | On | 7618.000 | 484.484305 | 0.270412 | 0.190331 | 0.022786 | 0.022786 | 0.794886 | 0.003428 | 25205 | 55605 | 2323 | 45 | 2296 | 72 | 8662 | 55 | 4450 | 4450 | 54080 | 2430 | 24 | 51626 | 51650 | 32135 | 20937 | 11198 | 5936 | 0.041950 | 0
extended-mnist-sample-1038 (label=1) | ETAwareCostBalanced | Off | 7851.000 | 1593.639121 | 0.412686 | 0.228096 | 0.032639 | 0.032639 | 0.732893 | 0.036655 | 25205 | 57176 | 3195 | 45 | 3168 | 72 | 12323 | 2420 | 0 | 0 | 53208 | 0 | 834 | 52374 | 53208 | 16695 | 0 | 16695 | 6332 | 0.057398 | 0
extended-mnist-sample-1038 (label=1) | ETAwareCostBalanced | On | 7366.000 | 1400.607160 | 0.279663 | 0.196843 | 0.023565 | 0.023565 | 0.769851 | 0.024056 | 25205 | 55359 | 2323 | 45 | 2296 | 72 | 8908 | 2525 | 4450 | 4450 | 54080 | 2430 | 24 | 51626 | 51650 | 32135 | 20937 | 11198 | 5936 | 0.041950 | 0
extended-mnist-sample-1038 (label=1) | ETAwareCostBalancedMemoryAware | Off | 7926.000 | 4327.986012 | 0.408781 | 0.225937 | 0.032330 | 0.032330 | 0.720056 | 0.037233 | 25205 | 57175 | 3195 | 45 | 3168 | 72 | 12324 | 4698 | 0 | 0 | 53208 | 0 | 834 | 52374 | 53208 | 16695 | 0 | 16695 | 6332 | 0.057398 | 0
