Section 1: Benchmark Configuration
==================================
mode=detailed
suite_tiers=extended
et_mode=paired
reactive_zero_skip=On
proactive_zero_run_skip=On
zero_run_order_mode=kernel
bit_column_skip=On
warmup_iterations=0
timed_repetitions=1
grouping_policies=OutputChannelModulo,TaskRoundRobin,ETAwareCostBalanced,ETAwareCostBalancedMemoryAware,BroadcastPhaseAwareFanoutBalanced
scenario_count=17
exactness_pass=PASS
primary_invariants_pass=PASS

Section 2: Detailed Primary Metrics
===================================
scenario | grouping_policy | et_enabled | cycles_mean | wall_median_ms | throughput_macs_per_cycle | lane_occupancy | multiplier_utilization | accumulator_utilization | memory_stall_ratio | broadcast_stall_ratio | dram_bytes | onchip_buffer_bytes | activation_reuse_hits | activation_reuse_misses | weight_reuse_hits | weight_reuse_misses | memory_requests_avoided | work_stealing_events | tasks_terminated_early | output_elements_terminated_early | macs_skipped_total | macs_skipped_et_only | macs_skipped_reactive_only | macs_skipped_proactive_only | macs_skipped_zero_only | bit_steps_skipped_total | bit_steps_skipped_et_only | bit_steps_skipped_bit_column_only | zero_run_events | average_processed_fraction_per_task | mismatches
extended-mnist-sample-0 (label=7) | OutputChannelModulo | Off | 13068.000 | 596.150819 | 0.633609 | 0.368823 | 0.050112 | 0.050112 | 0.569481 | 0.055738 | 25275 | 67570 | 8165 | 115 | 8208 | 72 | 32099 | 1040 | 0 | 0 | 48168 | 0 | 31208 | 16960 | 48168 | 42665 | 0 | 42665 | 6120 | 0.146684 | 0
extended-mnist-sample-0 (label=7) | OutputChannelModulo | On | 10539.000 | 494.124986 | 0.492267 | 0.278550 | 0.041201 | 0.041201 | 0.674798 | 0.034299 | 25275 | 62741 | 5756 | 115 | 5799 | 72 | 22474 | 1165 | 4204 | 4204 | 50577 | 28687 | 14031 | 7859 | 21890 | 260832 | 232776 | 28056 | 2517 | 0.104007 | 0
extended-mnist-sample-0 (label=7) | TaskRoundRobin | Off | 13361.000 | 677.626108 | 0.619714 | 0.360735 | 0.049013 | 0.049013 | 0.596531 | 0.035647 | 25275 | 67858 | 8165 | 115 | 8208 | 72 | 31811 | 16 | 0 | 0 | 48168 | 0 | 31208 | 16960 | 48168 | 42665 | 0 | 42665 | 6120 | 0.146684 | 0
extended-mnist-sample-0 (label=7) | TaskRoundRobin | On | 10684.000 | 520.391427 | 0.485586 | 0.274770 | 0.040642 | 0.040642 | 0.693579 | 0.022336 | 25275 | 63040 | 5756 | 115 | 5799 | 72 | 22175 | 24 | 4204 | 4204 | 50577 | 28687 | 14031 | 7859 | 21890 | 260832 | 232776 | 28056 | 2517 | 0.104007 | 0
extended-mnist-sample-0 (label=7) | ETAwareCostBalanced | Off | 13207.000 | 1520.655803 | 0.626940 | 0.364941 | 0.049584 | 0.049584 | 0.562841 | 0.061623 | 25275 | 67775 | 8165 | 115 | 8208 | 72 | 31894 | 2119 | 0 | 0 | 48168 | 0 | 31208 | 16960 | 48168 | 42665 | 0 | 42665 | 6120 | 0.146684 | 0
extended-mnist-sample-0 (label=7) | ETAwareCostBalanced | On | 10429.000 | 1732.390232 | 0.497459 | 0.281488 | 0.041636 | 0.041636 | 0.656854 | 0.048657 | 25275 | 62912 | 5756 | 115 | 5799 | 72 | 22303 | 3016 | 4204 | 4204 | 50577 | 28687 | 14031 | 7859 | 21890 | 260832 | 232776 | 28056 | 2517 | 0.104007 | 0
extended-mnist-sample-0 (label=7) | ETAwareCostBalancedMemoryAware | Off | 13075.000 | 4132.541550 | 0.633270 | 0.368625 | 0.050085 | 0.050085 | 0.559598 | 0.070008 | 25275 | 67766 | 8165 | 115 | 8208 | 72 | 31903 | 4012 | 0 | 0 | 48168 | 0 | 31208 | 16960 | 48168 | 42665 | 0 | 42665 | 6120 | 0.146684 | 0
extended-mnist-sample-0 (label=7) | ETAwareCostBalancedMemoryAware | On | 10311.000 | 3773.028784 | 0.503152 | 0.284709 | 0.042113 | 0.042113 | 0.661381 | 0.051612 | 25275 | 62882 | 5756 | 115 | 5799 | 72 | 22333 | 4754 | 4204 | 4204 | 50577 | 28687 | 14031 | 7859 | 21890 | 260832 | 232776 | 28056 | 2517 | 0.104007 | 0
extended-mnist-sample-0 (label=7) | BroadcastPhaseAwareFanoutBalanced | Off | 13087.000 | 846.915021 | 0.632689 | 0.368287 | 0.050039 | 0.050039 | 0.563963 | 0.066336 | 25275 | 67627 | 8165 | 115 | 8208 | 72 | 32042 | 1030 | 0 | 0 | 48168 | 0 | 31208 | 16960 | 48168 | 42665 | 0 | 42665 | 6120 | 0.146684 | 0
extended-mnist-sample-0 (label=7) | BroadcastPhaseAwareFanoutBalanced | On | 10311.000 | 737.709174 | 0.503152 | 0.284709 | 0.042113 | 0.042113 | 0.666764 | 0.046733 | 25275 | 62806 | 5756 | 115 | 5799 | 72 | 22409 | 1044 | 4204 | 4204 | 50577 | 28687 | 14031 | 7859 | 21890 | 260832 | 232776 | 28056 | 2517 | 0.104007 | 0
